Week of,Spend ($SGD Million)
2019-09-30,218.341814
2019-09-02,-72.86853317456999
2019-09-09,-131.50111869549994
2019-09-16,65.70035854267998
2019-09-23,110.21596700732998
2019-08-26,222.0122249403
2019-09-02,-72.86853317456999
2019-09-09,-131.50111869549994
2019-09-16,65.70035854267998
2019-08-19,128.85784892590993
2019-08-26,222.0122249403
2019-09-02,-72.86853317456999
2019-09-09,-131.50111869549994
2019-08-12,188.39936653242992
2019-08-19,128.85784892590993
2019-08-26,222.0122249403
2019-09-02,-72.86853317456999
2019-07-29,242.42648210460993
2019-08-05,271.88421388565
2019-08-12,188.40076653243
2019-08-19,128.85863032590993
2019-07-22,-59.69153320064994
2019-07-29,242.42648210460993
2019-08-05,271.88421388565
2019-08-12,188.40076653243
2019-07-15,-111.46365829230002
2019-07-22,-59.69153320064994
2019-07-29,242.42648210460993
2019-08-05,271.88421388565
2019-07-08,-67.08975049875004
2019-07-15,-111.46365829230002
2019-07-22,-59.69153320064994
2019-07-29,242.42648210460993
2019-07-01,-250.21914809854997
2019-07-08,-67.08975049875004
2019-07-15,-111.46365829230002
2019-07-22,-59.69153320064994
2019-05-20,68.01187099709999
2019-05-27,214.820381742
2019-06-03,4.064280073050017
2019-06-10,-92.14185629010002
2019-05-13,182.86592964500002
2019-05-20,68.01187099709999
2019-05-27,214.820381742
2019-06-03,4.064280073050017
2019-05-06,273.33377864219995
2019-05-13,182.86592964500002
2019-05-20,68.01187099709999
2019-05-27,214.820381742
2019-04-29,-136.69786375335
2019-05-06,273.33377864219995
2019-05-13,182.86592964500002
2019-05-20,68.01187099709999
2019-04-22,-8.989210267700004
2019-04-29,-136.69786375335
2019-05-06,273.33377864219995
2019-05-13,182.86592964500002
2019-04-15,-59.8167780455
2019-04-22,-8.989210267700004
2019-04-29,-136.69786375335
2019-05-06,273.33377864219995
2019-04-08,-91.40355104015
2019-04-15,-59.8167780455
2019-04-22,-8.989210267700004
2019-04-29,-136.69786375335
2019-04-01,-474.77229121305004
2019-04-08,-91.40355104015
2019-04-15,-59.8167780455
2019-04-22,-8.989210267700004
2019-03-25,48.2071813533
2019-04-01,-474.77229121305004
2019-04-08,-91.40355104015
2019-04-15,-59.8167780455
2019-03-18,-89.21749908070002
2019-03-25,48.2071813533
2019-04-01,-474.77229121305004
2019-04-08,-91.40355104015
2019-03-11,118.37741702824998
2019-03-18,-89.21749908070002
2019-03-25,48.2071813533
2019-04-01,-474.77229121305004
2019-03-04,22.76875566170001
2019-03-11,118.37741702824998
2019-03-18,-89.21749908070002
2019-03-25,48.2071813533
2019-02-25,192.52595210105002
2019-03-04,22.76875566170001
2019-03-11,118.37741702824998
2019-03-18,-89.21749908070002
2019-02-18,-80.02096276400003
2019-02-25,192.52595210105002
2019-03-04,22.76875566170001
2019-03-11,118.37741702824998
2019-02-11,-17.357610015899997
2019-02-18,-80.02096276400003
2019-02-25,192.52595210105002
2019-03-04,22.76875566170001
2019-02-04,-16.480667776450016
2019-02-11,-17.357610015899997
2019-02-18,-80.02096276400003
2019-02-25,192.52595210105002
2019-01-28,-33.88494922492515
2019-02-04,-16.480667776450016
2019-02-11,-17.357610015899997
2019-02-18,-80.02096276400003
2019-01-21,-44.85973516019693
2019-01-28,-33.88494922492515
2019-02-04,-16.480667776450016
2019-02-11,-17.357610015899997
2018-12-24,27.069195803699994
2018-12-31,126.37834508647217
2019-01-07,-479.5100372231
2019-01-14,-206.07363385070005
2018-12-17,77.34503786105
2018-12-24,27.069195803699994
2018-12-31,126.37834508647217
2019-01-07,-479.5100372231
2018-12-10,148.34538503064996
2018-12-17,77.34503786105
2018-12-24,27.069195803699994
2018-12-31,126.37834508647217
